IDENTIFIER,Entrez Gene,,,,,,,,,,,,,,,,,,,,,
INPP5K,51763,,,,,,,,,,,,,,,,,,,,,
NNT,23530,,,,,,,,,,,,,,,,,,,,,
NNT,23530,,,,,,,,,,,,,,,,,,,,,
NDUFA7,4701,,,,,,,,,,,,,,,,,,,,,
STK39,27347,,,,,,,,,,,,,,,,,,,,,
MAPKAPK3,7867,,,,,,,,,,,,,,,,,,,,,
MAPKAPK3,7867,,,,,,,,,,,,,,,,,,,,,
PLCG1,5335,,,,,,,,,,,,,,,,,,,,,
CLDN7,1366,,,,,,,,,,,,,,,,,,,,,
PPP6R2,9701,,,,,,,,,,,,,,,,,,,,,
PPP6R2,9701,,,,,,,,,,,,,,,,,,,,,
LPCAT3,10162,,,,,,,,,,,,,,,,,,,,,
INPP1,3628,,,,,,,,,,,,,,,,,,,,,
TRIOBP,11078,,,,,,,,,,,,,,,,,,,,,
SYNPO,11346,,,,,,,,,,,,,,,,,,,,,
SACM1L,22908,,,,,,,,,,,,,,,,,,,,,
SEC24B,10427,,,,,,,,,,,,,,,,,,,,,
CLPP,8192,,,,,,,,,,,,,,,,,,,,,
SLC1A3,6507,,,,,,,,,,,,,,,,,,,,,
PRKACA,5566,,,,,,,,,,,,,,,,,,,,,
DHPS,1725,,,,,,,,,,,,,,,,,,,,,
ITGB2,3689,,,,,,,,,,,,,,,,,,,,,
ABCC1,4363,,,,,,,,,,,,,,,,,,,,,
ABCC1,4363,,,,,,,,,,,,,,,,,,,,,
DBN1,1627,,,,,,,,,,,,,,,,,,,,,
TOM1,10043,,,,,,,,,,,,,,,,,,,,,
WBP1L,54838,,,,,,,,,,,,,,,,,,,,,
INTS3,65123,,,,,,,,,,,,,,,,,,,,,
DRG1,4733,,,,,,,,,,,,,,,,,,,,,
STAMBP,10617,,,,,,,,,,,,,,,,,,,,,
GAA,2548,,,,,,,,,,,,,,,,,,,,,
TARBP1,6894,,,,,,,,,,,,,,,,,,,,,
HEXIM1,10614,,,,,,,,,,,,,,,,,,,,,
HEXIM1,10614,,,,,,,,,,,,,,,,,,,,,
SS18,6760,,,,,,,,,,,,,,,,,,,,,
SS18,6760,,,,,,,,,,,,,,,,,,,,,
TCEB3,6924,,,,,,,,,,,,,,,,,,,,,
TCEB3,6924,,,,,,,,,,,,,,,,,,,,,
AHR,196,,,,,,,,,,,,,,,,,,,,,
LPP,4026,,,,,,,,,,,,,,,,,,,,,
LPP,4026,,,,,,,,,,,,,,,,,,,,,
TCEB1,6921,,,,,,,,,,,,,,,,,,,,,
TCEB1,6921,,,,,,,,,,,,,,,,,,,,,
SLC25A4,291,,,,,,,,,,,,,,,,,,,,,
SPINT1,6692,,,,,,,,,,,,,,,,,,,,,
MMP14,4323,,,,,,,,,,,,,,,,,,,,,
MMP14,4323,,,,,,,,,,,,,,,,,,,,,
VAMP7,6845,,,,,,,,,,,,,,,,,,,,,
SLC37A4,2542,,,,,,,,,,,,,,,,,,,,,
GPX2,2877,,,,,,,,,,,,,,,,,,,,,
GCC2,9648,,,,,,,,,,,,,,,,,,,,,
SERPINA1,5265,,,,,,,,,,,,,,,,,,,,,
AGT,183,,,,,,,,,,,,,,,,,,,,,
TXNL4A,10907,,,,,,,,,,,,,,,,,,,,,
TXNL4A,10907,,,,,,,,,,,,,,,,,,,,,
TRAFD1,10906,,,,,,,,,,,,,,,,,,,,,
FUCA1,2517,,,,,,,,,,,,,,,,,,,,,
NDUFB7,4713,,,,,,,,,,,,,,,,,,,,,
TAF15,8148,,,,,,,,,,,,,,,,,,,,,
OGFR,11054,,,,,,,,,,,,,,,,,,,,,
DNAJB9,4189,,,,,,,,,,,,,,,,,,,,,
DNAJB9,4189,,,,,,,,,,,,,,,,,,,,,
RALBP1,10928,,,,,,,,,,,,,,,,,,,,,
RALBP1,10928,,,,,,,,,,,,,,,,,,,,,
PIGC,5279,100505991,,,,,,,,,,,,,,,,,,,,
PCK2,5106,,,,,,,,,,,,,,,,,,,,,
GRK6,2870,,,,,,,,,,,,,,,,,,,,,
GRK6,2870,,,,,,,,,,,,,,,,,,,,,
ABCD3,5825,,,,,,,,,,,,,,,,,,,,,
AAGAB,79719,,,,,,,,,,,,,,,,,,,,,
AAGAB,79719,,,,,,,,,,,,,,,,,,,,,
RYK,6259,,,,,,,,,,,,,,,,,,,,,
HPRT1,3251,,,,,,,,,,,,,,,,,,,,,
MIR6787,9123,,,,,,,,,,,,,,,,,,,,,
MIR6787,9123,,,,,,,,,,,,,,,,,,,,,
CNPY2,10330,,,,,,,,,,,,,,,,,,,,,
U2AF1,7307,,,,,,,,,,,,,,,,,,,,,
CXCL8,3576,,,,,,,,,,,,,,,,,,,,,
DENND4B,9909,,,,,,,,,,,,,,,,,,,,,
MIR6883,5187,,,,,,,,,,,,,,,,,,,,,
FAH,2184,,,,,,,,,,,,,,,,,,,,,
SP100,6672,,,,,,,,,,,,,,,,,,,,,
SP100,6672,,,,,,,,,,,,,,,,,,,,,
DNAJB12,54788,,,,,,,,,,,,,,,,,,,,,
DNAJB12,54788,,,,,,,,,,,,,,,,,,,,,
DNAJB12,54788,,,,,,,,,,,,,,,,,,,,,
POP4,10775,,,,,,,,,,,,,,,,,,,,,
OAS1,4938,,,,,,,,,,,,,,,,,,,,,
CDC20,991,,,,,,,,,,,,,,,,,,,,,
TRAF4,9618,,,,,,,,,,,,,,,,,,,,,
ATP6V1C1,528,,,,,,,,,,,,,,,,,,,,,
ATP6V1C1,528,,,,,,,,,,,,,,,,,,,,,
ATP6V1C1,528,,,,,,,,,,,,,,,,,,,,,
PBX2,5089,,,,,,,,,,,,,,,,,,,,,
PBX2,5089,,,,,,,,,,,,,,,,,,,,,
CD93,22918,,,,,,,,,,,,,,,,,,,,,
CD93,22918,,,,,,,,,,,,,,,,,,,,,
CYTH1,9267,,,,,,,,,,,,,,,,,,,,,
CYTH1,9267,,,,,,,,,,,,,,,,,,,,,
NOL7,---,,,,,,,,,,,,,,,,,,,,,
NOL7,51406,,,,,,,,,,,,,,,,,,,,,
PPP2R1B,5519,,,,,,,,,,,,,,,,,,,,,
PPP2R1B,5519,,,,,,,,,,,,,,,,,,,,,
PPP2R1B,5519,,,,,,,,,,,,,,,,,,,,,
PPP2R1B,5519,,,,,,,,,,,,,,,,,,,,,
DDIT4,54541,,,,,,,,,,,,,,,,,,,,,
ANPEP,290,,,,,,,,,,,,,,,,,,,,,
MAP7,9053,,,,,,,,,,,,,,,,,,,,,
MAP7,9053,,,,,,,,,,,,,,,,,,,,,
NIT1,4817,,,,,,,,,,,,,,,,,,,,,
CDC23,8697,,,,,,,,,,,,,,,,,,,,,
UNC13B,10497,,,,,,,,,,,,,,,,,,,,,
EPHB4,2050,,,,,,,,,,,,,,,,,,,,,
SIRPA,140885,,,,,,,,,,,,,,,,,,,,,
SIRPA,140885,,,,,,,,,,,,,,,,,,,,,
SIRPA,140885,,,,,,,,,,,,,,,,,,,,,
SDC3,9672,,,,,,,,,,,,,,,,,,,,,
SRSF3,6428,,,,,,,,,,,,,,,,,,,,,
E2F1,1869,,,,,,,,,,,,,,,,,,,,,
NUP88,4927,,,,,,,,,,,,,,,,,,,,,
CTSS,1520,,,,,,,,,,,,,,,,,,,,,
CTSS,1520,,,,,,,,,,,,,,,,,,,,,
LSM5,23658,,,,,,,,,,,,,,,,,,,,,
LSM5,23658,,,,,,,,,,,,,,,,,,,,,
NBN,4683,,,,,,,,,,,,,,,,,,,,,
NBN,4683,,,,,,,,,,,,,,,,,,,,,
NBN,4683,,,,,,,,,,,,,,,,,,,,,
WFS1,7466,,,,,,,,,,,,,,,,,,,,,
EPM2AIP1,9852,,,,,,,,,,,,,,,,,,,,,
ADGRE5,976,,,,,,,,,,,,,,,,,,,,,
MSH6,2956,,,,,,,,,,,,,,,,,,,,,
ADM,133,,,,,,,,,,,,,,,,,,,,,
ARHGEF11,9826,,,,,,,,,,,,,,,,,,,,,
ARHGEF11,9826,,,,,,,,,,,,,,,,,,,,,
FAM20B,9917,,,,,,,,,,,,,,,,,,,,,
FAM20B,9917,,,,,,,,,,,,,,,,,,,,,
S100A8,6279,,,,,,,,,,,,,,,,,,,,,
HSPE1-MOB4,25843,100529241,,,,,,,,,,,,,,,,,,,,
MOB4,25843,,,,,,,,,,,,,,,,,,,,,
ANK2,287,,,,,,,,,,,,,,,,,,,,,
ANK2,287,,,,,,,,,,,,,,,,,,,,,
GCLC,2729,,,,,,,,,,,,,,,,,,,,,
GCLC,2729,,,,,,,,,,,,,,,,,,,,,
PLAGL2,5326,,,,,,,,,,,,,,,,,,,,,
PLAGL2,5326,,,,,,,,,,,,,,,,,,,,,
NBAS,51594,,,,,,,,,,,,,,,,,,,,,
PIN1,5300,,,,,,,,,,,,,,,,,,,,,
PHF1,5252,,,,,,,,,,,,,,,,,,,,,
DDTL,1652,,,,,,,,,,,,,,,,,,,,,
SUCLA2,8803,,,,,,,,,,,,,,,,,,,,,
BIN1,274,,,,,,,,,,,,,,,,,,,,,
YES1,7525,,,,,,,,,,,,,,,,,,,,,
YES1,7525,,,,,,,,,,,,,,,,,,,,,
HK2,3099,,,,,,,,,,,,,,,,,,,,,
SOX9,6662,,,,,,,,,,,,,,,,,,,,,
SOX9,6662,,,,,,,,,,,,,,,,,,,,,
RRP7A,27341,,,,,,,,,,,,,,,,,,,,,
RRP7BP,27341,91695,,,,,,,,,,,,,,,,,,,,
ZMPSTE24,10269,,,,,,,,,,,,,,,,,,,,,
WNK1,65125,,,,,,,,,,,,,,,,,,,,,
NDUFV2,4729,,,,,,,,,,,,,,,,,,,,,
ETFB,2109,,,,,,,,,,,,,,,,,,,,,
NAGA,4668,,,,,,,,,,,,,,,,,,,,,
NAGA,4668,,,,,,,,,,,,,,,,,,,,,
FPGS,2356,,,,,,,,,,,,,,,,,,,,,
BTBD3,22903,,,,,,,,,,,,,,,,,,,,,
GYPC,2995,,,,,,,,,,,,,,,,,,,,,
IL1R1,3554,,,,,,,,,,,,,,,,,,,,,
FHL2,2274,,,,,,,,,,,,,,,,,,,,,
CRYZ,1429,,,,,,,,,,,,,,,,,,,,,
STK38,11329,,,,,,,,,,,,,,,,,,,,,
ADAM12,8038,,,,,,,,,,,,,,,,,,,,,
C1QB,713,,,,,,,,,,,,,,,,,,,,,
UBE2C,11065,,,,,,,,,,,,,,,,,,,,,
ARFGEF1,10565,,,,,,,,,,,,,,,,,,,,,
ARFGEF1,10565,,,,,,,,,,,,,,,,,,,,,
HCLS1,3059,,,,,,,,,,,,,,,,,,,,,
PTPN9,5780,,,,,,,,,,,,,,,,,,,,,
MUT,4594,,,,,,,,,,,,,,,,,,,,,
MUT,4594,,,,,,,,,,,,,,,,,,,,,
ARMC2-AS1,9551,,,,,,,,,,,,,,,,,,,,,
KIF13B,23303,,,,,,,,,,,,,,,,,,,,,
RFX5,5993,,,,,,,,,,,,,,,,,,,,,
RFX5,5993,,,,,,,,,,,,,,,,,,,,,
CAPN6,827,,,,,,,,,,,,,,,,,,,,,
CAPN6,827,,,,,,,,,,,,,,,,,,,,,
GSTA4,2941,,,,,,,,,,,,,,,,,,,,,
DYRK2,8445,,,,,,,,,,,,,,,,,,,,,
DYRK2,8445,,,,,,,,,,,,,,,,,,,,,
DYRK2,8445,,,,,,,,,,,,,,,,,,,,,
DYRK2,8445,,,,,,,,,,,,,,,,,,,,,
FAM13A,10144,,,,,,,,,,,,,,,,,,,,,
FAM13A,10144,,,,,,,,,,,,,,,,,,,,,
MPP1,4354,,,,,,,,,,,,,,,,,,,,,
RHOBTB3,22836,,,,,,,,,,,,,,,,,,,,,
RHOBTB3,22836,,,,,,,,,,,,,,,,,,,,,
CREBZF,58487,,,,,,,,,,,,,,,,,,,,,
CREBZF,58487,,,,,,,,,,,,,,,,,,,,,
CREBZF,58487,,,,,,,,,,,,,,,,,,,,,
SIAH1,6477,,,,,,,,,,,,,,,,,,,,,
SIAH1,6477,,,,,,,,,,,,,,,,,,,,,
ACOT1,10965,641371,,,,,,,,,,,,,,,,,,,,
HLTF,6596,,,,,,,,,,,,,,,,,,,,,
BAG5,9529,,,,,,,,,,,,,,,,,,,,,
BAG5,9529,,,,,,,,,,,,,,,,,,,,,
ARNT2,9915,,,,,,,,,,,,,,,,,,,,,
TRAF3IP2,10758,,,,,,,,,,,,,,,,,,,,,
RGS1,5996,,,,,,,,,,,,,,,,,,,,,
RGS1,5996,,,,,,,,,,,,,,,,,,,,,
PYGL,5836,,,,,,,,,,,,,,,,,,,,,
STARD3,10948,,,,,,,,,,,,,,,,,,,,,
C7,730,,,,,,,,,,,,,,,,,,,,,
ILVBL,10994,,,,,,,,,,,,,,,,,,,,,
FBLN1,2192,,,,,,,,,,,,,,,,,,,,,
FBLN1,2192,,,,,,,,,,,,,,,,,,,,,
POLD4,57804,,,,,,,,,,,,,,,,,,,,,
LOXL2,4017,,,,,,,,,,,,,,,,,,,,,
LOXL2,4017,,,,,,,,,,,,,,,,,,,,,
LOXL2,4017,,,,,,,,,,,,,,,,,,,,,
STMN2,11075,,,,,,,,,,,,,,,,,,,,,
STMN2,11075,,,,,,,,,,,,,,,,,,,,,
AMOTL2,51421,,,,,,,,,,,,,,,,,,,,,
MEF2D,4209,,,,,,,,,,,,,,,,,,,,,
MEF2D,4209,,,,,,,,,,,,,,,,,,,,,
LTBR,4055,,,,,,,,,,,,,,,,,,,,,
INPP5A,3632,,,,,,,,,,,,,,,,,,,,,
LYPLA1,10434,,,,,,,,,,,,,,,,,,,,,
TXNDC9,10190,,,,,,,,,,,,,,,,,,,,,
BCAM,4059,,,,,,,,,,,,,,,,,,,,,
STAT5A,6776,,,,,,,,,,,,,,,,,,,,,
IMPA1,3612,,,,,,,,,,,,,,,,,,,,,
RPL23A,6147,,,,,,,,,,,,,,,,,,,,,
ECD,11319,,,,,,,,,,,,,,,,,,,,,
SGSM3,27352,,,,,,,,,,,,,,,,,,,,,
SSX2IP,117178,,,,,,,,,,,,,,,,,,,,,
SSX2IP,117178,,,,,,,,,,,,,,,,,,,,,
SSX2IP,117178,,,,,,,,,,,,,,,,,,,,,
SSX2IP,117178,,,,,,,,,,,,,,,,,,,,,
SSX2IP,117178,,,,,,,,,,,,,,,,,,,,,
RABGAP1L,9910,,,,,,,,,,,,,,,,,,,,,
SLPI,6590,,,,,,,,,,,,,,,,,,,,,
RNASEH2A,10535,,,,,,,,,,,,,,,,,,,,,
NOP16,51491,,,,,,,,,,,,,,,,,,,,,
C5orf15,56951,,,,,,,,,,,,,,,,,,,,,
NAA10,8260,,,,,,,,,,,,,,,,,,,,,
ZBTB5,9925,,,,,,,,,,,,,,,,,,,,,
MVD,4597,,,,,,,,,,,,,,,,,,,,,
CYBA,1535,,,,,,,,,,,,,,,,,,,,,
PTPRN2,5799,,,,,,,,,,,,,,,,,,,,,
PTPRN2,5799,,,,,,,,,,,,,,,,,,,,,
UROS,7390,,,,,,,,,,,,,,,,,,,,,
FH,2271,,,,,,,,,,,,,,,,,,,,,
FH,2271,,,,,,,,,,,,,,,,,,,,,
SNORA3A,6157,619562,,,,,,,,,,,,,,,,,,,,
PIAS3,10401,101060431,,,,,,,,,,,,,,,,,,,,
MTSS1,9788,,,,,,,,,,,,,,,,,,,,,
MTSS1,9788,,,,,,,,,,,,,,,,,,,,,
PTPRK,5796,,,,,,,,,,,,,,,,,,,,,
NDUFS1,4719,,,,,,,,,,,,,,,,,,,,,
HMBS,3145,,,,,,,,,,,,,,,,,,,,,
LAMP2,3920,,,,,,,,,,,,,,,,,,,,,
LAMP2,3920,,,,,,,,,,,,,,,,,,,,,
ZBED1,9189,,,,,,,,,,,,,,,,,,,,,
CHSY1,22856,,,,,,,,,,,,,,,,,,,,,
NINJ1,4814,,,,,,,,,,,,,,,,,,,,,
TIMELESS,8914,,,,,,,,,,,,,,,,,,,,,
STK10,6793,,,,,,,,,,,,,,,,,,,,,
TTC37,9652,,,,,,,,,,,,,,,,,,,,,
TTC37,9652,,,,,,,,,,,,,,,,,,,,,
TP53BP1,7158,,,,,,,,,,,,,,,,,,,,,
BAHD1,22893,,,,,,,,,,,,,,,,,,,,,
C2,717,,,,,,,,,,,,,,,,,,,,,
BCAS2,10286,,,,,,,,,,,,,,,,,,,,,
TCTA,6988,,,,,,,,,,,,,,,,,,,,,
LOC100505585,9138,,,,,,,,,,,,,,,,,,,,,
PRDM2,7799,,,,,,,,,,,,,,,,,,,,,
PRDM2,7799,,,,,,,,,,,,,,,,,,,,,
PAPSS2,9060,,,,,,,,,,,,,,,,,,,,,
PAPSS2,9060,,,,,,,,,,,,,,,,,,,,,
PAPSS2,9060,,,,,,,,,,,,,,,,,,,,,
MDC1,9656,,,,,,,,,,,,,,,,,,,,,
MDC1,9656,,,,,,,,,,,,,,,,,,,,,
PPM1F,9647,,,,,,,,,,,,,,,,,,,,,
FOXK2,3607,,,,,,,,,,,,,,,,,,,,,
CAV1,857,,,,,,,,,,,,,,,,,,,,,
CHST15,51363,,,,,,,,,,,,,,,,,,,,,
PDHX,8050,,,,,,,,,,,,,,,,,,,,,
KLHL21,9903,,,,,,,,,,,,,,,,,,,,,
SV2A,9900,,,,,,,,,,,,,,,,,,,,,
SEMA3B,7869,,,,,,,,,,,,,,,,,,,,,
MIR6872,7869,,,,,,,,,,,,,,,,,,,,,
MYO1E,4643,,,,,,,,,,,,,,,,,,,,,
COG2,22796,,,,,,,,,,,,,,,,,,,,,
ANXA8L1,244,653145,728113,,,,,,,,,,,,,,,,,,,
SMAD2,4087,,,,,,,,,,,,,,,,,,,,,
SMAD2,4087,,,,,,,,,,,,,,,,,,,,,
SMAD2,4087,,,,,,,,,,,,,,,,,,,,,
CUL2,8453,,,,,,,,,,,,,,,,,,,,,
CUL2,8453,,,,,,,,,,,,,,,,,,,,,
BAZ2B,29994,,,,,,,,,,,,,,,,,,,,,
CTNNBIP1,56998,,,,,,,,,,,,,,,,,,,,,
BMS1,9790,,,,,,,,,,,,,,,,,,,,,
THBS2,7058,,,,,,,,,,,,,,,,,,,,,
TGFB1,7040,,,,,,,,,,,,,,,,,,,,,
TGFB1,7040,,,,,,,,,,,,,,,,,,,,,
KIF2A,3796,,,,,,,,,,,,,,,,,,,,,
KIF2A,3796,,,,,,,,,,,,,,,,,,,,,
FBLN5,10516,,,,,,,,,,,,,,,,,,,,,
HTRA2,27429,,,,,,,,,,,,,,,,,,,,,
SDF2,6388,,,,,,,,,,,,,,,,,,,,,
FUBP1,8880,,,,,,,,,,,,,,,,,,,,,
TIMM44,10469,,,,,,,,,,,,,,,,,,,,,
TIMM44,10469,,,,,,,,,,,,,,,,,,,,,
MAD2L1BP,9587,,,,,,,,,,,,,,,,,,,,,
MTIF2,4528,,,,,,,,,,,,,,,,,,,,,
RAPGEF2,9693,,,,,,,,,,,,,,,,,,,,,
RAPGEF2,9693,,,,,,,,,,,,,,,,,,,,,
CDYL,9425,,,,,,,,,,,,,,,,,,,,,
CDYL,9425,,,,,,,,,,,,,,,,,,,,,
CDYL,9425,,,,,,,,,,,,,,,,,,,,,
MGAT2,4247,,,,,,,,,,,,,,,,,,,,,
MGAT2,4247,,,,,,,,,,,,,,,,,,,,,
PRPF19,27339,,,,,,,,,,,,,,,,,,,,,
CSF1R,1436,,,,,,,,,,,,,,,,,,,,,
DNM1L,10059,,,,,,,,,,,,,,,,,,,,,
VPS41,27072,,,,,,,,,,,,,,,,,,,,,
SNORA64,6187,26784,,,,,,,,,,,,,,,,,,,,
GPRC5A,9052,,,,,,,,,,,,,,,,,,,,,
UBE2M,9040,,,,,,,,,,,,,,,,,,,,,
PTK2B,2185,,,,,,,,,,,,,,,,,,,,,
PTK2B,2185,,,,,,,,,,,,,,,,,,,,,
MIR943,7469,100126332,,,,,,,,,,,,,,,,,,,,
EEF1D,1936,,,,,,,,,,,,,,,,,,,,,
SSSCA1,10534,,,,,,,,,,,,,,,,,,,,,
FECH,2235,,,,,,,,,,,,,,,,,,,,,
FECH,2235,,,,,,,,,,,,,,,,,,,,,
PAN2,9924,,,,,,,,,,,,,,,,,,,,,
PCSK7,9159,,,,,,,,,,,,,,,,,,,,,
CCDC86,79080,,,,,,,,,,,,,,,,,,,,,
TP53BP2,7159,,,,,,,,,,,,,,,,,,,,,
TRAPPC12,51112,,,,,,,,,,,,,,,,,,,,,
SLC11A2,4891,,,,,,,,,,,,,,,,,,,,,
SLC11A2,4891,,,,,,,,,,,,,,,,,,,,,
SLC11A2,4891,,,,,,,,,,,,,,,,,,,,,
IMPA2,3613,,,,,,,,,,,,,,,,,,,,,
SPTLC2,9517,,,,,,,,,,,,,,,,,,,,,
SPTLC2,9517,,,,,,,,,,,,,,,,,,,,,
KIF5C,3800,,,,,,,,,,,,,,,,,,,,,
KIF5C,3800,,,,,,,,,,,,,,,,,,,,,
PDGFRA,5156,,,,,,,,,,,,,,,,,,,,,
RB1,5925,,,,,,,,,,,,,,,,,,,,,
SEC61B,10952,,,,,,,,,,,,,,,,,,,,,
PICALM,8301,,,,,,,,,,,,,,,,,,,,,
TBP,6908,,,,,,,,,,,,,,,,,,,,,
RABAC1,10567,,,,,,,,,,,,,,,,,,,,,
WTAP,9589,,,,,,,,,,,,,,,,,,,,,
HAT1,8520,,,,,,,,,,,,,,,,,,,,,
DAPK1,1612,,,,,,,,,,,,,,,,,,,,,
BCL6,604,,,,,,,,,,,,,,,,,,,,,
AP3B1,8546,,,,,,,,,,,,,,,,,,,,,
AP3B1,8546,,,,,,,,,,,,,,,,,,,,,
KIAA0040,9674,,,,,,,,,,,,,,,,,,,,,
KIAA0040,9674,,,,,,,,,,,,,,,,,,,,,
SPAG5,10615,,,,,,,,,,,,,,,,,,,,,
GABBR1,2550,,,,,,,,,,,,,,,,,,,,,
TRIM14,9830,,,,,,,,,,,,,,,,,,,,,
TRIM14,9830,,,,,,,,,,,,,,,,,,,,,
NECTIN2,5819,,,,,,,,,,,,,,,,,,,,,
RABEPK,10244,,,,,,,,,,,,,,,,,,,,,
MAP1A,4130,,,,,,,,,,,,,,,,,,,,,
MRPL40,64976,,,,,,,,,,,,,,,,,,,,,
IFIT1,3434,,,,,,,,,,,,,,,,,,,,,
PAK4,10298,,,,,,,,,,,,,,,,,,,,,
SETDB1,9869,,,,,,,,,,,,,,,,,,,,,
AKAP11,11215,,,,,,,,,,,,,,,,,,,,,
GLS,2744,,,,,,,,,,,,,,,,,,,,,
GLS,2744,,,,,,,,,,,,,,,,,,,,,
GLS,2744,,,,,,,,,,,,,,,,,,,,,
RNF8,9025,,,,,,,,,,,,,,,,,,,,,
RNF8,9025,,,,,,,,,,,,,,,,,,,,,
KATNB1,10300,,,,,,,,,,,,,,,,,,,,,
KATNB1,10300,,,,,,,,,,,,,,,,,,,,,
SLC33A1,9197,,,,,,,,,,,,,,,,,,,,,
SLC33A1,9197,,,,,,,,,,,,,,,,,,,,,
CFDP1,10428,,,,,,,,,,,,,,,,,,,,,
TIMP2,7077,,,,,,,,,,,,,,,,,,,,,
ATF6B,1388,,,,,,,,,,,,,,,,,,,,,
RGP1,9827,,,,,,,,,,,,,,,,,,,,,
RRP8,23378,,,,,,,,,,,,,,,,,,,,,
RRP8,23378,,,,,,,,,,,,,,,,,,,,,
FXR2,9513,,,,,,,,,,,,,,,,,,,,,
C16orf62,57020,,,,,,,,,,,,,,,,,,,,,
ARFRP1,10139,,,,,,,,,,,,,,,,,,,,,
RHOG,391,,,,,,,,,,,,,,,,,,,,,
TFAM,7019,,,,,,,,,,,,,,,,,,,,,
TFAM,7019,,,,,,,,,,,,,,,,,,,,,
GATM,2628,,,,,,,,,,,,,,,,,,,,,
GALT,2592,,,,,,,,,,,,,,,,,,,,,
ALDH1A3,220,,,,,,,,,,,,,,,,,,,,,
SRPK2,6733,,,,,,,,,,,,,,,,,,,,,
SRPK2,6733,,,,,,,,,,,,,,,,,,,,,
SMARCD1,6602,,,,,,,,,,,,,,,,,,,,,
FBN2,2201,,,,,,,,,,,,,,,,,,,,,
RASSF2,9770,,,,,,,,,,,,,,,,,,,,,
S100A4,6275,,,,,,,,,,,,,,,,,,,,,
DOCK1,1793,,,,,,,,,,,,,,,,,,,,,
B4GAT1,11041,,,,,,,,,,,,,,,,,,,,,
MIR7113,4728,100616403,,,,,,,,,,,,,,,,,,,,
MIR7113,4728,100616403,,,,,,,,,,,,,,,,,,,,
ABCB6,10058,,,,,,,,,,,,,,,,,,,,,
ABCB6,10058,,,,,,,,,,,,,,,,,,,,,
ESRRA,2101,,,,,,,,,,,,,,,,,,,,,
NUP98,4928,,,,,,,,,,,,,,,,,,,,,
NUP98,4928,,,,,,,,,,,,,,,,,,,,,
ABCC4,10257,,,,,,,,,,,,,,,,,,,,,
C1orf123,54987,,,,,,,,,,,,,,,,,,,,,
CDK9,1025,,,,,,,,,,,,,,,,,,,,,
MTRR,4552,,,,,,,,,,,,,,,,,,,,,
MTRR,4552,,,,,,,,,,,,,,,,,,,,,
PMM2,5373,,,,,,,,,,,,,,,,,,,,,
KRR1,11103,,,,,,,,,,,,,,,,,,,,,
KRR1,11103,,,,,,,,,,,,,,,,,,,,,
KDM4A,9682,,,,,,,,,,,,,,,,,,,,,
KDM4A,9682,,,,,,,,,,,,,,,,,,,,,
FAM53B,9679,,,,,,,,,,,,,,,,,,,,,
MTFR1,9650,,,,,,,,,,,,,,,,,,,,,
MTFR1,9650,,,,,,,,,,,,,,,,,,,,,
RFC5,5985,,,,,,,,,,,,,,,,,,,,,
RFC5,5985,,,,,,,,,,,,,,,,,,,,,
MTMR2,8898,,,,,,,,,,,,,,,,,,,,,
MTMR2,8898,,,,,,,,,,,,,,,,,,,,,
CDK1,983,,,,,,,,,,,,,,,,,,,,,
CDK1,983,,,,,,,,,,,,,,,,,,,,,
MYO6,4646,,,,,,,,,,,,,,,,,,,,,
MYO6,4646,,,,,,,,,,,,,,,,,,,,,
ST3GAL5,8869,,,,,,,,,,,,,,,,,,,,,
MAPK9,5601,,,,,,,,,,,,,,,,,,,,,
APRT,353,,,,,,,,,,,,,,,,,,,,,
TLE1,7088,,,,,,,,,,,,,,,,,,,,,
TLE1,7088,,,,,,,,,,,,,,,,,,,,,
TLE1,7088,,,,,,,,,,,,,,,,,,,,,
RABEP1,9135,,,,,,,,,,,,,,,,,,,,,
RFK,55312,,,,,,,,,,,,,,,,,,,,,
RFK,55312,,,,,,,,,,,,,,,,,,,,,
TSPAN31,6302,,,,,,,,,,,,,,,,,,,,,
TSPAN31,6302,,,,,,,,,,,,,,,,,,,,,
PAFAH1B3,5050,,,,,,,,,,,,,,,,,,,,,
CLK2,1196,,,,,,,,,,,,,,,,,,,,,
DVL1,1855,,,,,,,,,,,,,,,,,,,,,
ATXN1,6310,,,,,,,,,,,,,,,,,,,,,
ATXN1,6310,,,,,,,,,,,,,,,,,,,,,
IL4R,3566,,,,,,,,,,,,,,,,,,,,,
UPP1,7378,,,,,,,,,,,,,,,,,,,,,
THOP1,7064,,,,,,,,,,,,,,,,,,,,,
LGALS9,3965,,,,,,,,,,,,,,,,,,,,,
NOTCH3,4854,,,,,,,,,,,,,,,,,,,,,
NOTCH3,4854,,,,,,,,,,,,,,,,,,,,,
CNOT3,4849,,,,,,,,,,,,,,,,,,,,,
FCGBP,8857,,,,,,,,,,,,,,,,,,,,,
UVRAG,7405,,,,,,,,,,,,,,,,,,,,,
PDLIM5,10611,,,,,,,,,,,,,,,,,,,,,
PDLIM5,10611,,,,,,,,,,,,,,,,,,,,,
PEX5,5830,,,,,,,,,,,,,,,,,,,,,
LINC00094,266655,,,,,,,,,,,,,,,,,,,,,
NPRL2,10641,,,,,,,,,,,,,,,,,,,,,
ZNF24,7572,,,,,,,,,,,,,,,,,,,,,
ZNF24,7572,,,,,,,,,,,,,,,,,,,,,
EZH1,2145,,,,,,,,,,,,,,,,,,,,,
